FIPS,State,County,County Population,BTM PV Res Cap,BTM PV Comm Cap,,,EIA 861M Small Scale PV Estimate,,,,Capacity MW,,,
48429,TX,Stephens,9380,0.860055014,0.102479815,,,,,,,,,,
48431,TX,Sterling,1349,0.123690215,0.014738302,,,,,,,,,,
48433,TX,Stonewall,1186,0.108744696,0.012957469,,,,,,,,,,
48435,TX,Sutton,3203,0.293684031,0.034993907,,,,,,,,,,
48437,TX,Swisher,6703,0.614600081,0.073232644,,,,,,,,,,
48439,TX,Tarrant,2248466,206.162522,24.56528561,,,,,,,,,,
48441,TX,Taylor,150077,13.76060515,1.639644259,,,,,,,,,,
48443,TX,Terrell,702,0.064366591,0.007669598,,,,,,,,,,
48445,TX,Terry,11720,1.074610316,0.128045142,,,,,,,,,,
48447,TX,Throckmorton,1554,0.142486726,0.016977999,,,,,,,,,,
48449,TX,Titus,31563,2.894020938,0.344836929,,,,,,,,,,
48451,TX,Tom Green,120602,11.05803356,1.317619468,,,,,,,,,,
48453,TX,Travis,1389670,127.4192592,15.18263583,,,,,,,,,,
48455,TX,Trinity,14384,1.318873275,0.157150283,,,,,,,,,,
48457,TX,Tyler,20443,1.874424803,0.223346999,,,,,,,,,,
48459,TX,Upshur,44410,4.071966222,0.485194944,,,,,,,,,,
48461,TX,Upton,3131,0.287082329,0.034207281,,,,,,,,,,
48463,TX,Uvalde,24963,2.288864959,0.272729596,,,,,,,,,,
48465,TX,Val Verde,47835,4.3860055,0.522614279,,,,,,,,,,
48467,TX,Van Zandt,66130,6.063479538,0.722493619,,,,,,,,,,
48469,TX,Victoria,92656,8.495656436,1.012299543,,,,,,,,,,
48471,TX,Walker,83842,7.687498131,0.916003478,,,,,,,,,,
48473,TX,Waller,69858,6.405300976,0.763223336,,,,,,,,,,
48475,TX,Ward,11125,1.020054587,0.121544556,,,,,,,,,,
48477,TX,Washington,38288,3.510638206,0.41830993,,,,,,,,,,
48479,TX,Webb,281224,25.78551292,3.072471579,,,,,,,,,,
48481,TX,Wharton,42060,3.856494017,0.459520363,,,,,,,,,,
48483,TX,Wheeler,4773,0.437637802,0.052146712,,,,,,,,,,
48485,TX,Wichita,129555,11.87893681,1.415434157,,,,,,,,,,
48487,TX,Wilbarger,12481,1.144386634,0.136359336,,,,,,,,,,
48489,TX,Willacy,19971,1.831146981,0.218190232,,,,,,,,,,
48491,TX,Williamson,752827,69.02693347,8.224901008,,,,,,,,,,
48493,TX,Wilson,56139,5.147401751,0.613338413,,,,,,,,,,
48495,TX,Winkler,7540,0.691344862,0.082377164,,,,,,,,,,
48497,TX,Wise,83778,7.681629952,0.915304255,,,,,,,,,,
48499,TX,Wood,49688,4.555907626,0.542858959,,,,,,,,,,
48501,TX,Yoakum,7438,0.681992451,0.081262778,,,,,,,,,,
48503,TX,Young,18154,1.664545706,0.198338865,,,,,,,,,,
48505,TX,Zapata,13753,1.261016696,0.150256385,,,,,,,,,,
48507,TX,Zavala,9037,0.828605241,0.098732418,,,,,,,,,,
