Timestamp (EST),Baseline Res Electricity,BaseLine Res NG,ASHP Res Electricity,ASHP Res NG,Baseline Comm Electricity,Baseline Comm NG,SPHP RTU Comm Electricity,SPHP RTU Comm NG,Baseline Ins Electricity,TX BTM DGPV NCF
Wed 10:00 AM,0.9507,0.7922,0.8269,0.8438,0.785498498,0.986863772,0.892008287,0.997518092,0.993382191,0.45
Wed 11:00 AM,0.8634,0.6789,0.736,0.7725,0.85523407,0.896699795,0.930738637,0.932274808,0.99625867,0.5
Wed 12:00 PM,0.7826,0.5901,0.6749,0.7347,0.908456851,0.802007709,0.957366074,0.863535387,0.99773077,0.53
Wed 01:00 PM,0.7271,0.5244,0.636,0.71,0.944112393,0.72712664,0.97591867,0.811889957,0.999824274,0.5
Wed 02:00 PM,0.6903,0.4453,0.5899,0.6788,0.973064214,0.670693963,0.976002633,0.773466634,0.999484858,0.45
Wed 03:00 PM,0.6441,0.3958,0.5782,0.6781,0.979463974,0.621228002,0.959789651,0.736883884,0.994048887,0.35
Wed 04:00 PM,0.633,0.371,0.5968,0.7129,0.968243366,0.581536148,0.922817923,0.704309653,0.984663676,0.2
Wed 05:00 PM,0.6547,0.3719,0.6415,0.7714,0.933817377,0.549373518,0.858044825,0.674707141,0.974290482,0.08
Wed 06:00 PM,0.7041,0.3854,0.7021,0.7978,0.868598156,0.498805438,0.776203895,0.615887395,0.969223172,0.025
Wed 07:00 PM,0.7685,0.3978,0.7612,0.7464,0.784013558,0.480131269,0.709872756,0.58807214,0.969223172,0
Wed 08:00 PM,0.8251,0.4007,0.8072,0.6563,0.712434617,0.47059355,0.684688872,0.564338136,0.961103006,0
Wed 09:00 PM,0.8671,0.4059,0.815,0.5752,0.676857755,0.466627293,0.636385887,0.547202906,0.961103006,0
Wed 10:00 PM,0.8696,0.421,0.7403,0.5142,0.621056139,0.451306688,0.58122357,0.523667567,0.961103006,0
Wed 11:00 PM,0.7851,0.4492,0.6201,0.4501,0.56193678,0.438438223,0.544394272,0.504315809,0.961103006,0
Thu 12:00 AM,0.6529,0.474,0.539,0.3867,0.520301215,0.432149196,0.517496855,0.493573958,0.961103006,0
Thu 01:00 AM,0.5632,0.495,0.5185,0.3409,0.490488751,0.430053075,0.489772044,0.486704296,0.961103006,0
Thu 02:00 AM,0.5376,0.5224,0.5244,0.3274,0.462598862,0.430861956,0.448496009,0.477286743,0.961103006,0
Thu 03:00 AM,0.5396,0.5712,0.5621,0.3412,0.422814003,0.433511172,0.438285435,0.471053851,0.961103006,0
Thu 04:00 AM,0.5714,0.6155,0.5922,0.3886,0.412296492,0.441301525,0.440194743,0.470018978,0.961103006,0
Thu 05:00 AM,0.6001,0.6849,0.6517,0.511,0.413201442,0.468234736,0.457411373,0.49170859,0.961103006,0
Thu 06:00 AM,0.6594,0.7726,0.7431,0.7231,0.428859981,0.510825117,0.499413849,0.530592728,0.961103006,0.01
Thu 07:00 AM,0.7506,0.8497,0.8438,0.9282,0.468975556,0.588447533,0.58605284,0.605351535,0.961103006,0.1
Thu 08:00 AM,0.8535,0.8606,0.8821,0.9595,0.552195306,0.747202128,0.711138445,0.771925941,0.975200954,0.2
Thu 09:00 AM,0.8927,0.7744,0.8212,0.8871,0.672589013,0.867998863,0.778924532,0.897027214,0.98536235,0.35
Thu 10:00 AM,0.8471,0.6543,0.7209,0.8008,0.742139896,0.855266249,0.840991369,0.895861325,0.993382191,0.45
Thu 11:00 AM,0.7631,0.5487,0.6427,0.7296,0.81424422,0.768984441,0.890319015,0.831250241,0.99625867,0.5
Thu 12:00 PM,0.6919,0.474,0.5988,0.6963,0.875978891,0.684897101,0.93106134,0.770858405,0.99773077,0.53
Thu 01:00 PM,0.6501,0.4235,0.5748,0.6777,0.924369082,0.623743895,0.96166607,0.729784337,0.999824274,0.5
Thu 02:00 PM,0.6272,0.3628,0.5469,0.652,0.964136236,0.581522479,0.967772608,0.700845754,0.999484858,0.45
Thu 03:00 PM,0.6002,0.3337,0.5507,0.6577,0.976201093,0.550058467,0.956352963,0.677495301,0.994048887,0.35
Thu 04:00 PM,0.6081,0.3269,0.5823,0.6971,0.969498776,0.531131363,0.921601778,0.660783211,0.984663676,0.2
Thu 05:00 PM,0.6452,0.3421,0.6369,0.7604,0.937146796,0.515664388,0.860479417,0.643570824,0.974290482,0.08
Thu 06:00 PM,0.7057,0.3581,0.6979,0.7882,0.875049987,0.479065259,0.780138538,0.597699269,0.969223172,0.025
Thu 07:00 PM,0.7705,0.3623,0.7458,0.7309,0.791090547,0.460793281,0.711555774,0.571093739,0.969223172,0
Thu 08:00 PM,0.8162,0.3607,0.7795,0.6459,0.716389208,0.441689478,0.682442987,0.539832815,0.961103006,0
Thu 09:00 PM,0.8469,0.3594,0.7787,0.5635,0.676567758,0.425366879,0.627827007,0.511453256,0.961103006,0
Thu 10:00 PM,0.8418,0.3679,0.6937,0.499,0.614528843,0.40411131,0.568536054,0.481159086,0.961103006,0
Thu 11:00 PM,0.749,0.3905,0.5623,0.4342,0.551527415,0.387542752,0.528626638,0.457285801,0.961103006,0
Fri 12:00 AM,0.6084,0.4118,0.4733,0.3692,0.507625364,0.381258996,0.499680524,0.445296092,0.961103006,0
Fri 01:00 AM,0.5125,0.4284,0.4431,0.3229,0.476398486,0.376856915,0.469762861,0.435912397,0.961103006,0
Fri 02:00 AM,0.4794,0.4484,0.4407,0.3092,0.446889547,0.372763851,0.426303948,0.42188464,0.961103006,0
Fri 03:00 AM,0.475,0.4939,0.4689,0.3221,0.40579965,0.370982034,0.413502155,0.411079136,0.961103006,0
Fri 04:00 AM,0.5013,0.5332,0.4924,0.3686,0.393462224,0.374559741,0.412505278,0.407090338,0.961103006,0
Fri 05:00 AM,0.5245,0.597,0.5456,0.4877,0.392114827,0.395887409,0.427158238,0.424140333,0.961103006,0
Fri 06:00 AM,0.5789,0.6799,0.6287,0.6976,0.405972401,0.432969806,0.467132739,0.459115561,0.961103006,0.01
Fri 07:00 AM,0.6643,0.7528,0.722,0.9024,0.444601141,0.485350881,0.549051333,0.510315993,0.961103006,0.1
Fri 08:00 AM,0.7632,0.7657,0.7638,0.9353,0.523672141,0.646712312,0.672361895,0.686388686,0.975200954,0.2
